Coverage,Accuracy
0.0002,0.0
0.4139,0.0031408552790529115
0.479,0.003131524008350731
0.5222,0.0034469551895825352
0.5558,0.00395825836631882
0.5805,0.004306632213608958
0.6047,0.004795766495783033
0.6263,0.004630368832827718
0.6469,0.004946668727778636
0.6667,0.005549722513874306
0.6833,0.005561246890092199
0.7001,0.005713469504356521
0.7162,0.005724657916783021
0.7335,0.006407634628493524
0.7491,0.006674676278200507
0.7653,0.007056056448451587
0.783,0.007151979565772669
0.7991,0.007383306219496934
0.8183,0.007454478797507027
0.84,0.008571428571428572
0.8654,0.008782066096602727
0.897,0.009253065774804906
0.9178,0.00937023316626716
0.9396,0.009472115793954874
0.9573,0.009714822939517392
0.9756,0.01014760147601476
0.9878,0.010123506782749545
0.9947,0.010254348044636574
0.9993,0.010307215050535374
1.0,0.0103
