Coverage,Accuracy
0.0017,0.0
0.6871,0.007422500363848057
0.7314,0.00847689362865737
0.7591,0.008957976551179027
0.7769,0.009267602007980436
0.7942,0.009569377990430622
0.8074,0.009784493435719594
0.8195,0.010250152532031726
0.83,0.010240963855421687
0.8384,0.01025763358778626
0.8462,0.010635783502718033
0.8566,0.01085687602148027
0.866,0.011085450346420323
0.8747,0.011546816051217561
0.8829,0.011666100351115642
0.8916,0.011776581426648721
0.8995,0.012340188993885491
0.9098,0.012750054957133435
0.9184,0.012957317073170731
0.9288,0.013458225667527994
0.9381,0.013644600788828483
0.9533,0.013846637994335467
0.9738,0.014068597247894846
0.9809,0.014170659598328066
0.9862,0.014398702088825797
0.9906,0.014637593377750857
0.9954,0.014567008237894315
0.9988,0.01461754104925911
0.9993,0.014710297208045632
1.0,0.0147
