Coverage,Accuracy
0.0001,0.0
0.0002,0.0
0.0012,0.16666666666666666
0.922,0.10336225596529285
0.9849,0.10021321961620469
0.9921,0.10009071666162685
0.9946,0.10004021717273276
0.9956,0.10014061872237846
0.9967,0.10003009932778167
0.9978,0.09991982361194628
0.998,0.0998997995991984
0.9981,0.09988979060214408
0.9982,0.0998797836104989
0.9984,0.09985977564102565
0.9987,0.09992990888154601
0.9987,0.09992990888154601
0.9988,0.0999199038846616
0.999,0.1
0.9991,0.09998999099189271
0.9992,0.09997998398718975
0.9994,0.09995997598559135
0.9995,0.09994997498749375
0.9995,0.09994997498749375
0.9997,0.09992997899369811
0.9999,0.1000100010001
0.9999,0.1000100010001
0.9999,0.1000100010001
0.9999,0.1000100010001
0.9999,0.1000100010001
1.0,0.1
